bid,id
1,76
1,99
2,140
2,142
3,64
3,98
4,40
4,80
4,138
6,171
6,179
7,122
7,162
8,107
8,121
8,166
9,127
10,162
11,19
11,71
11,78
11,119
13,9
13,122
13,153
14,6
14,47
14,57
14,137
14,154
14,197
15,87
16,106
16,199
17,17
17,34
17,132
17,174
18,101
18,154
18,184
19,20
19,29
19,40
19,74
19,161
19,172
20,45
20,54
20,90
21,55
21,59
21,97
22,20
22,95
22,126
22,148
23,100
23,184
24,114
24,181
24,187
25,57
25,71
25,81
25,199
26,74
27,5
27,194
28,164
28,185
29,106
29,171
29,194
30,52
30,153
31,5
31,109
31,193
32,65
32,73
32,84
32,193
33,16
33,91
33,127
33,155
34,2
34,57
34,150
34,182
35,2
35,72
35,84
35,90
38,24
38,60
38,82
38,196
38,198
39,164
40,45
40,52
41,200
42,29
42,43
43,153
44,14
44,70
44,182
44,183
44,185
45,25
45,64
45,76
45,190
45,191
45,195
46,36
46,66
46,87
46,94
46,139
46,171
46,187
47,70
47,145
47,169
47,177
49,3
49,27
49,98
49,148
49,172
50,82
51,52
51,77
51,102
51,131
51,173
52,16
52,33
52,57
52,169
53,45
53,93
53,145
54,68
54,90
54,155
54,174
55,98
56,116
56,162
56,177
57,139
58,27
58,94
58,150
58,162
58,184
59,45
59,66
59,67
59,118
59,189
59,198
60,48
60,54
60,109
60,137
61,38
61,84
62,165
63,12
63,22
64,95
64,197
65,99
65,180
66,15
66,73
66,165
66,167
66,178
67,82
67,91
67,113
67,182
67,187
68,58
68,145
68,157
69,5
69,146
70,43
70,137
70,187
71,8
71,58
72,30
72,38
73,140
74,89
75,20
75,30
75,61
75,126
75,166
76,38
76,45
76,64
76,76
76,184
77,32
77,87
77,110
77,118
77,192
78,27
78,147
78,183
79,85
79,166
79,168
80,130
80,188
81,50
81,56
81,93
81,114
81,147
81,174
82,56
82,71
83,116
83,179
84,24
84,116
84,153
84,194
85,98
85,133
85,150
85,155
86,69
86,100
86,173
87,2
87,177
87,179
88,70
89,45
89,56
89,104
89,190
90,20
90,23
91,56
92,91
92,182
93,19
93,46
93,119
93,178
93,200
94,7
94,191
95,19
95,101
96,98
97,8
97,128
97,168
98,22
98,154
98,191
99,89
99,130
100,108
100,112
100,161
101,23
101,45
101,88
101,132
101,137
102,90
102,100
102,136
104,82
104,129
104,191
104,198
106,91
106,107
107,55
107,59
107,165
107,173
107,197
108,58
108,67
108,153
108,167
108,196
109,19
109,21
109,126
109,170
111,155
112,81
112,127
112,164
113,2
113,29
113,64
113,68
113,155
113,172
113,187
114,63
114,73
114,175
115,83
115,98
115,177
116,3
116,66
116,123
116,196
117,40
118,17
118,115
118,150
119,62
119,79
119,188
120,14
120,48
120,133
120,159
120,194
121,76
121,108
121,188
122,52
122,137
123,78
123,164
124,16
124,81
124,127
124,180
125,65
126,20
126,63
126,116
126,122
126,154
126,176
127,23
127,153
127,177
128,97
128,129
128,187
129,96
129,200
130,63
130,106
130,111
130,116
130,136
130,154
130,158
131,6
131,43
131,185
132,26
132,89
132,200
133,10
133,63
133,137
133,150
134,9
134,55
135,125
136,34
136,41
137,48
137,61
137,77
137,135
138,133
139,18
139,56
140,48
140,100
140,173
141,119
141,159
141,176
141,180
142,21
142,30
142,40
142,84
142,160
144,54
144,102
144,146
144,193
145,18
145,54
145,98
145,122
145,159
146,132
146,148
146,194
147,14
147,30
147,105
147,153
147,174
147,198
148,52
148,87
149,60
149,84
150,81
150,190
151,153
152,21
152,98
152,101
153,48
153,176
154,15
154,36
154,41
154,43
154,100
154,172
155,5
156,17
157,134
157,170
158,39
158,64
158,120
158,143
159,15
160,39
160,135
160,171
160,193
161,65
161,120
162,176
163,5
163,13
163,17
163,67
163,78
163,152
164,4
164,67
164,93
164,140
164,154
165,44
165,160
166,19
166,27
166,30
166,92
166,128
167,167
167,195
168,47
168,124
168,141
168,165
169,81
170,120
170,178
170,194
171,4
171,66
171,131
172,22
172,24
172,79
172,151
172,160
172,180
173,22
173,56
173,115
174,151
174,196
175,26
175,29
175,153
